VariableCode,RegionCode,YearCode,AggValue
rgdpo,BOL,1961,6588.81396484375000000
pop,BOL,1961,3.64174135818394000
rgdpo,BOL,1962,6856.99462890625000000
pop,BOL,1962,3.72585596473985000
rgdpo,BOL,1963,7300.91894531250000000
pop,BOL,1963,3.81264842479780000
rgdpo,BOL,1964,7753.64550781250000000
pop,BOL,1964,3.90225122215667000
rgdpo,BOL,1965,8247.72363281250000000
pop,BOL,1965,3.99477583105770000
rgdpo,BOL,1966,8906.65820312500000000
pop,BOL,1966,4.09031790678104000
rgdpo,BOL,1967,9627.37890625000000000
pop,BOL,1967,4.18900375384391000
rgdpo,BOL,1968,8524.70117187500000000
pop,BOL,1968,4.29102023372384000
rgdpo,BOL,1969,8830.38085937500000000
pop,BOL,1969,4.39656038718002000
rgdpo,BOL,1970,8627.61425781250000000
pop,BOL,1970,4.50577400000000000
rgdpo,BOL,1971,9169.47167968750000000
pop,BOL,1971,4.60059600000000000
rgdpo,BOL,1972,9332.98046875000000000
pop,BOL,1972,4.69809000000000000
rgdpo,BOL,1973,10105.29882812500000000
pop,BOL,1973,4.79851000000000000
rgdpo,BOL,1974,10799.14550781250000000
pop,BOL,1974,4.90217300000000000
rgdpo,BOL,1975,11408.77050781250000000
pop,BOL,1975,5.00925900000000000
rgdpo,BOL,1976,11892.55175781250000000
pop,BOL,1976,5.11983300000000000
rgdpo,BOL,1977,12485.00781250000000000
pop,BOL,1977,5.23367700000000000
rgdpo,BOL,1978,12442.08984375000000000
pop,BOL,1978,5.35032000000000000
rgdpo,BOL,1979,12674.54589843750000000
pop,BOL,1979,5.46912300000000000
rgdpo,BOL,1980,12579.30468750000000000
pop,BOL,1980,5.58957200000000000
rgdpo,BOL,1981,12927.92871093750000000
pop,BOL,1981,5.71159800000000000
rgdpo,BOL,1982,12595.64746093750000000
pop,BOL,1982,5.83518600000000000
rgdpo,BOL,1983,12501.15722656250000000
pop,BOL,1983,5.95996200000000000
rgdpo,BOL,1984,13044.84082031250000000
pop,BOL,1984,6.08549900000000000
rgdpo,BOL,1985,13768.04882812500000000
pop,BOL,1985,6.21154900000000000
rgdpo,BOL,1986,13847.39160156250000000
pop,BOL,1986,6.33789300000000000
rgdpo,BOL,1987,14426.44042968750000000
pop,BOL,1987,6.46473600000000000
rgdpo,BOL,1988,12954.79687500000000000
pop,BOL,1988,6.59278700000000000
rgdpo,BOL,1989,13593.62304687500000000
pop,BOL,1989,6.72304600000000000
rgdpo,BOL,1990,14477.57519531250000000
pop,BOL,1990,6.85624600000000000
rgdpo,BOL,1991,15455.34863281250000000
pop,BOL,1991,6.99252100000000000
rgdpo,BOL,1992,16206.19140625000000000
pop,BOL,1992,7.13169900000000000
rgdpo,BOL,1993,17320.11914062500000000
pop,BOL,1993,7.27382400000000000
rgdpo,BOL,1994,18814.37304687500000000
pop,BOL,1994,7.41886400000000000
rgdpo,BOL,1995,21050.61523437500000000
pop,BOL,1995,7.56671600000000000
rgdpo,BOL,1996,23550.00781250000000000
pop,BOL,1996,7.71744500000000000
rgdpo,BOL,1997,23920.89257812500000000
pop,BOL,1997,7.87086000000000000
rgdpo,BOL,1998,24483.89257812500000000
pop,BOL,1998,8.02625700000000000
rgdpo,BOL,1999,24527.70703125000000000
pop,BOL,1999,8.18271000000000000
rgdpo,BOL,2000,24927.10937500000000000
pop,BOL,2000,8.33951200000000000
rgdpo,BOL,2001,26012.60742187500000000
pop,BOL,2001,8.49637800000000000
rgdpo,BOL,2002,27314.22460937500000000
pop,BOL,2002,8.65334300000000000
rgdpo,CMR,1960,6977.63281250000000000
pop,CMR,1960,5.64564208007595000
rgdpo,CMR,1961,7201.11621093750000000
pop,CMR,1961,5.73664155440937000
