country,continent,ln_pop,avg_pc_gdp_growth
SEN,Africa,1.439302758876445,9.637979528212215e-4
SGP,Asia,0.7295133425868646,0.06518538755523151
SLE,Africa,0.9219351720079031,0.01069010116410055
SLV,North America,1.2998079372273608,0.04453765910943411
SWE,Europe,2.0855539478058263,0.024548594860363614
SYR,Asia,1.8529803054302276,0.027243491784928638
TCD,Africa,1.2933319481529193,0.0012553844005443026
TGO,Africa,0.7493011178599848,0.014189987808145708
THA,Asia,3.607802632762448,0.050309680515983994
TTO,North America,-0.055516938269007964,0.02409023296669924
TUN,Africa,1.6214441482675623,0.0388164493578869
TUR,Europe,3.5488133567383344,0.02545346493935451
TWN,Asia,2.6798526266362814,0.05648986590641915
TZA,Africa,2.6104744167530223,0.013770753504472473
UGA,Africa,2.2455939122286903,0.01790254026848937
URY,South America,1.0331129505381338,0.01628029636919769
USA,North America,5.344655990050553,0.02116866355581354
VEN,South America,2.449949196016272,0.018088896186336207
VNM,Asia,3.7706274223884186,0.041737732107074335
ZAF,Africa,3.113626503028113,0.013093969293359093
ZMB,Africa,1.431597022443245,0.013772843572165938
ZWE,Africa,1.6498715435510507,0.004739938518586131
